,CN_PPI,CN_IP,CN_EX_YoY,US_PPI,US_IP,EA_PPI,EA_IP,EA_EX_YoY,JP_PPI,JP_IP,JP_EX_YoY,KR_PPI,KR_IP,KR_EX_YoY
2015-01-01,-4.9,,,,,-3.30739299610894,2.02470830473578,,0.485122009582197,,,,-2.78534665455642,
2015-01-20,,,0.14666537730070317,,,,,-3.7952559300873934,,,-1.430948419301159,,,-1.5003669375662443
2015-01-21,,,-0.14308451632610852,,,,,-2.8024836381943197,,,-1.4877967235038425,,,-2.4461936577492738
2015-01-22,,,-0.06438631790744997,,,,,-4.373324396782841,,,-0.2875021139861378,,,-1.492523721929817
2015-01-23,,,0.24466013166577483,,,,,-4.57698815566836,,,-1.439089692101736,,,-2.33860791095859
2015-01-26,,,0.6308031475789733,,,,,-4.411142155617642,,,-0.9455275709145727,,,-1.5298442788202804
2015-01-27,,,0.5556897801401339,,,,,-3.88841927303466,,,-0.8764537333557976,,,-0.9971090283020789
2015-01-28,,,0.7222661099198557,,,,,-4.14131169709262,,,-0.4901960784313708,,,0.14678052157857113
2015-01-29,,,0.7955462320477613,,,,,-3.998641650394763,,,0.12694651320244166,,,1.6826789581829038
2015-01-30,,,0.8683441741853093,,,,,-4.370658986955789,,,0.5651652680253472,,,2.207413577675954
2015-02-01,-4.8,106.8,,,,-2.62645914396888,,,0.391188197982337,,,,-1.01443497964838,
2015-02-02,,,1.1701955713593115,,,,,-2.2503879979306807,,,0.32492518170157414,,,2.0103159730597175
2015-02-03,,,0.8184967372915519,,,,,-0.47755491881564804,,,0.025542784163468113,,,1.7999777092543745
2015-02-04,,,0.6557641182631135,,,,,-0.8595988538681931,,,0.11068539804170996,,,0.9389976594716964
2015-02-05,,,0.6099425463089503,,,,,-1.0987109611558021,,,-0.9115462525320694,,,-0.011037832169769057
2015-02-06,,,0.4910484286450245,,,,,-2.192679558011057,,,1.1030035635499758,,,1.4159750078562627
2015-02-09,,,0.6152854956913867,,,,,-0.8585947082530243,,,0.661465400271366,,,1.3542870348971725
2015-02-10,,,0.2023153872091621,,,,,0.3280432662470023,,,1.2903225806451646,,,2.1250290495003377
